Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
HA,10-10-2017,0051,N370HA,HNL,10:00,09:58,655,682,-2,10:15,17,25,0,0,0,0
HA,10-10-2018,0051,N373HA,HNL,10:00,09:57,655,634,-3,10:23,26,0,0,0,0,0
HA,10-10-2019,0051,N391HA,HNL,10:00,09:55,660,631,-5,10:11,16,0,0,0,0,0
HA,10-10-2021,0051,N375HA,HNL,10:00,09:57,655,619,-3,10:12,15,0,0,0,0,0
HA,10-10-2022,0051,N396HA,HNL,10:00,10:44,660,643,44,11:01,17,27,0,0,0,0
HA,10-11-2017,0051,N399HA,HNL,10:00,09:57,655,702,-3,10:23,26,44,0,0,0,0
HA,10-11-2018,0051,N360HA,HNL,10:00,10:01,655,660,1,10:26,25,0,0,0,0,0
HA,10-11-2019,0051,N399HA,HNL,10:00,09:50,660,640,-10,10:09,19,0,0,0,0,0
HA,10-11-2021,0051,N370HA,HNL,10:00,09:55,655,635,-5,10:10,15,0,0,0,0,0
HA,10-11-2022,0051,N388HA,HNL,10:00,10:05,660,627,5,10:21,16,0,0,0,0,0
HA,10-12-2017,0051,N360HA,HNL,10:00,09:56,655,676,-4,10:17,21,17,0,0,0,0
HA,10-12-2018,0051,N390HA,HNL,10:00,09:54,655,639,-6,10:30,36,0,0,0,0,0
HA,10-12-2019,0051,N378HA,HNL,10:00,10:43,660,628,43,10:59,16,0,0,0,0,0
HA,10-12-2021,0051,N384HA,HNL,10:00,09:57,655,653,-3,10:10,13,0,0,0,0,0
HA,10-12-2022,0051,N399HA,HNL,10:00,10:01,660,635,1,10:19,18,0,0,0,0,0
HA,10/13/2017,0051,N382HA,HNL,10:00,09:57,655,676,-3,10:21,24,18,0,0,0,0
HA,10/13/2018,0051,N379HA,HNL,10:00,09:59,655,684,-1,10:25,26,28,0,0,0,0
HA,10/13/2019,0051,N381HA,HNL,10:00,09:56,660,628,-4,10:12,16,0,0,0,0,0
HA,10/13/2022,0051,N378HA,HNL,10:00,09:59,660,660,-1,10:26,27,0,0,0,0,0
HA,10/14/2017,0051,N381HA,HNL,10:00,09:50,655,668,-10,10:09,19,0,0,0,0,0
HA,10/14/2018,0051,N396HA,HNL,10:00,09:54,655,673,-6,10:12,18,0,0,0,0,0
HA,10/14/2019,0051,N375HA,HNL,10:00,09:59,660,649,-1,10:14,15,0,0,0,0,0
HA,10/14/2021,0051,N395HA,HNL,10:00,09:58,655,662,-2,10:17,19,0,0,0,0,0
HA,10/14/2022,0051,N395HA,HNL,10:00,10:29,660,645,29,10:42,13,0,0,0,0,0
HA,10/15/2017,0051,N360HA,HNL,10:00,10:00,655,673,0,10:18,18,18,0,0,0,0
HA,10/15/2018,0051,N384HA,HNL,10:00,09:53,655,665,-7,10:09,16,0,0,0,0,0
HA,10/15/2019,0051,N389HA,HNL,10:00,10:18,660,636,18,10:39,21,0,0,0,0,0
HA,10/15/2021,0051,N390HA,HNL,10:00,09:55,655,662,-5,10:12,17,0,0,0,0,0
HA,10/15/2022,0051,N380HA,HNL,10:00,10:00,660,649,0,10:21,21,0,0,0,0,0
HA,10/16/2017,0051,N380HA,HNL,10:00,09:49,655,649,-11,10:07,18,0,0,0,0,0
HA,10/16/2018,0051,N386HA,HNL,10:00,10:01,655,664,1,10:20,19,0,0,0,0,0
HA,10/16/2019,0051,N390HA,HNL,10:00,09:56,660,648,-4,10:13,17,0,0,0,0,0
HA,10/16/2021,0051,N378HA,HNL,10:00,09:56,655,663,-4,10:13,17,0,0,0,0,0
HA,10/16/2022,0051,N381HA,HNL,10:00,10:34,660,641,34,10:53,19,15,0,0,0,0
HA,10/17/2018,0051,N360HA,HNL,10:00,10:01,655,659,1,10:18,17,0,0,0,0,0
HA,10/17/2019,0051,N380HA,HNL,10:00,11:01,660,617,61,11:14,13,18,0,0,0,0
HA,10/17/2021,0051,N385HA,HNL,10:00,09:57,655,670,-3,10:22,25,0,0,0,0,0
HA,10/17/2022,0051,N361HA,HNL,10:00,10:22,660,631,22,10:42,20,0,0,0,0,0
HA,10/18/2017,0051,N373HA,HNL,10:00,09:58,655,617,-2,10:17,19,0,0,0,0,0
HA,10/18/2018,0051,N381HA,HNL,10:00,10:00,655,664,0,10:21,21,0,0,0,0,0
HA,10/18/2019,0051,N389HA,HNL,10:00,09:53,660,618,-7,10:18,25,0,0,0,0,0
HA,10/18/2021,0051,N375HA,HNL,10:00,11:39,655,675,99,11:55,16,119,0,0,0,0
HA,10/18/2022,0051,N395HA,HNL,10:00,23:51,660,625,831,00:06,15,796,0,0,0,0
HA,10/19/2017,0051,N395HA,HNL,10:00,09:54,655,644,-6,10:19,25,0,0,0,0,0
HA,10/19/2018,0051,N395HA,HNL,10:00,09:56,655,672,-4,10:12,16,0,0,0,0,0
HA,10/19/2019,0051,N373HA,HNL,10:00,09:58,660,654,-2,10:17,19,0,0,0,0,0
HA,10/19/2021,0051,N390HA,HNL,10:00,09:56,655,657,-4,10:10,14,0,0,0,0,0
HA,10/19/2022,0051,N379HA,HNL,10:00,10:10,660,639,10,10:29,19,0,0,0,0,0
HA,10/20/2017,0051,N373HA,HNL,10:00,09:57,655,657,-3,10:22,25,0,0,0,0,0
